Latitude,Longitude,Value
37.874540118847364,-122.93714162862653,24
38.450714306409914,-121.72717917747244,75
38.2319939418114,-122.37128803784735,72
38.09865848419704,-121.9828586176706,36
37.65601864044244,-121.18486705214781,38
37.6559945203362,-122.50141554170224,84
37.5580836121682,-122.17923415392875,99
38.366176145774936,-121.4888977229139,89
38.10111501174321,-122.54240366901675,99
38.208072577796045,-122.84604018034241,25
37.520584494295804,-122.42049709417246,93
38.469909852162,-122.677557425492,18
38.33244264080042,-121.14060469531485,82
37.71233911067828,-121.38375924087117,66
37.6818249672071,-121.73319248697915,54
37.68340450985343,-121.25707881962457,35
37.80424224295954,-121.39265584620178,80
38.02475643163224,-122.62685988222793,61
37.93194501864212,-121.21488200302005,41
37.79122914019804,-121.9213155161687,33
38.11185289472238,-121.38511968967188,68
37.63949386065204,-121.20781740015302,33
37.79214464853522,-122.36399305005627,14
37.86636184329369,-122.77989615094465,21
37.95606998421704,-122.54412967491612,48
38.285175961393016,-122.14578442274748,20
37.69967378215836,-121.36397046815502,8
38.01423443841361,-121.27853883348732,7
38.09241456886204,-122.98609573893762,67
37.54645041272,-121.97850539484487,17
38.10754485190144,-122.16517799370244,33
37.670524123687294,-122.55578437905854,48
37.56505159298528,-122.76026926533264,76
38.44888553725333,-122.32476965719275,59
38.465632033074556,-121.11418059217496,86
38.30839734811646,-122.35359413595849,22
37.80461376917337,-121.96241875651327,30
37.597672114006386,-121.59396208220964,38
38.18423302651216,-122.27274079524142,51
37.9401524937396,-121.05643583455807,54
37.62203823484478,-121.07510541011578,8
37.99517691011127,-122.49643540834927,27
37.53438852111522,-122.00550298821523,27
38.409320402078784,-122.39824338036647,98
37.758779981600014,-122.43031901124506,21
38.16252228435398,-122.92622610529094,30
37.81171107608941,-121.7808713320402,97
38.02006802117781,-121.99464195354227,28
38.04671027934328,-122.89704249750002,64
37.684854455525524,-122.44270707152678,97
38.46958462776456,-121.18346822806669,69
38.27513282336111,-122.52087621866606,61
38.43949894156419,-122.71021025581756,48
38.39482735042765,-122.02109447944487,19
38.097899978811085,-121.0286990917788,4
38.42187423502312,-122.51588945697699,35
37.58849250205192,-121.65572890518824,64
37.69598286241914,-121.47676076934256,49
37.54522728891054,-122.5247249120152,17
37.825330330763265,-121.54356730277628,44
37.88867728968948,-122.26443373456149,92
37.771349031773894,-121.73538833881284,30
38.32873750915193,-121.7329405784782,93
37.85675332669359,-121.92845063185048,46
37.780934509687384,-122.81942045989118,6
38.04269608315825,-121.32939500882152,99
37.64092422497476,-122.35843987005653,37
38.30219698075404,-122.62696297920029,24
37.57455064367977,-122.91844971689048,93
38.48688693660052,-121.81821411362351,46
38.272244769296655,-121.64487127631544,53
37.698715681534175,-122.96682434214429,95
37.505522117123604,-121.97581388340144,99
38.31546142845483,-122.54700844960412,60
38.20685734384762,-121.7096544191811,97
38.22900716804099,-122.65126714199002,63
38.271270346685945,-121.61812452379507,85
37.57404465173409,-122.22652930739892,32
37.858465728544274,-121.12654002252653,87
37.61586905952513,-122.72495811170802,33
38.36310342587559,-122.31786729789948,67
38.12329812682756,-122.77305295751883,18
37.83089802485265,-121.15061276344288,25
37.56355835028602,-121.24532129323804,95
37.81098232171566,-122.48411674456969,54
37.825183322026746,-121.68003190793164,58
38.22960617833807,-121.36555559959757,67
38.137557471355215,-121.88959837680108,46
38.387212742576324,-121.94069884328799,24
37.97221492516195,-122.51629541819909,32
37.6195942459383,-122.8137944643882,47
38.213244787223,-121.20556848409335,86
38.260785048616896,-121.19916388567334,23
38.061277197569495,-121.73379708545346,66
38.27096717995456,-122.3219404179026,27
37.99379559636439,-122.30158085077468,2
38.022732829381994,-121.54808864225951,90
37.927541018358546,-121.20577948009485,17
37.5254191267441,-121.22582715146976,33
37.607891426993305,-121.44024890828476,9
